Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color
"BMW Z4, ","BMW Z4, ",sDrive 20i,24.599 €,Gasolina,03.2014,75.341 km,185 CV / 135 kW,2,Cambio tipo automático,Negro
"Citroen Berlingo, ","Citroen Berlingo, ",1.5 Blue-HDi Feel M,19.999 €,Diésel,11.2019,75.705 km,102 CV / 75 kW,5,Cambio tipo manual,Gris
"Opel Zafira Tourer, ","Opel Zafira Tourer, ",1.4 Turbo Excellence,13.799 €,Gasolina,07.2017,77.074 km,140 CV / 103 kW,5,Cambio tipo automático,Negro
"Hyundai i30, ","Hyundai i30, ",1.4 CRDi Klass,11.499 €,Diésel,07.2016,77.097 km,90 CV / 66 kW,5,Cambio tipo manual,Gris
"Citroen C 3, ","Citroen C 3, ",1.2 VTi Feel,11.999 €,Gasolina,07.2019,77.097 km,82 CV / 60 kW,5,Cambio tipo manual,Rojo
"Citroen Berlingo, ","Citroen Berlingo, ",1.6 Blue-HDi 20 Aniversario Edition,16.499 €,Diésel,02.2018,77.857 km,99 CV / 73 kW,5,Cambio tipo manual,Blanco
"Peugeot 3008, ","Peugeot 3008, ",1.6 Blue-HDi Style,12.399 €,Diésel,06.2015,78.035 km,120 CV / 88 kW,5,Cambio tipo manual,Gris
"Opel Corsa, ","Opel Corsa, ",1.2 Selective,6.799 €,Gasolina,08.2014,78.096 km,85 CV / 63 kW,3,Cambio tipo manual,Rojo
"Ford Focus, ","Ford Focus, ",1.5 TDCi Business,13.699 €,Diésel,09.2018,78.619 km,120 CV / 88 kW,5,Cambio tipo manual,Plata
"Seat León, ","Seat León, ",2.0 TDI X-Perience 4Drive,19.199 €,Diésel,02.2017,79.241 km,185 CV / 135 kW,5,Doble embrague,Blanco
"Fiat Tipo, ","Fiat Tipo, ",1.4 Lounge,11.299 €,Gasolina,04.2019,79.325 km,95 CV / 70 kW,4,Cambio tipo manual,Negro
"Audi Q3, ","Audi Q3, ",2.0 TDI Ambiente,17.499 €,Diésel,05.2013,79.737 km,140 CV / 103 kW,4,Cambio tipo manual,Blanco
"Hyundai i10, ","Hyundai i10, ",1.2 Comfort,6.499 €,Gasolina,07.2013,79.875 km,85 CV / 63 kW,5,Cambio tipo manual,Blanco
"Skoda Yeti, ","Skoda Yeti, ",1.2 TSI Edition Outdoor,12.799 €,Gasolina,01.2016,81.065 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"BMW Serie 1, ","BMW Serie 1, ",118d M Sport,19.899 €,Diésel,11.2018,81.215 km,150 CV / 110 kW,5,Cambio tipo manual,Blanco
"Citroen C 3, ","Citroen C 3, ",1.1 LX,5.899 €,Gasolina,06.2011,81.739 km,60 CV / 44 kW,5,Cambio tipo manual,Negro
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 Essence BlueDrive 2WD,16.899 €,Gasolina,07.2018,82.351 km,132 CV / 97 kW,5,Cambio tipo manual,Rojo
"Mazda 2, ","Mazda 2, ",1.5 Diesel Luxury,11.599 €,Diésel,02.2018,83.579 km,105 CV / 77 kW,5,Cambio tipo manual,Blanco
"Skoda Yeti, ","Skoda Yeti, ",1.2 TSI Black Outdoor,14.199 €,Gasolina,10.2017,83.680 km,110 CV / 81 kW,5,Cambio tipo manual,Plata
"Nissan Note, ","Nissan Note, ",1.5 dCi Acenta,8.599 €,Diésel,08.2014,83.712 km,90 CV / 66 kW,5,Cambio tipo manual,Negro
"Citroen Berlingo, ","Citroen Berlingo, ",1.5 Blue-HDi Feel XL,20.699 €,Diésel,03.2019,84.320 km,102 CV / 75 kW,5,Cambio tipo manual,Blanco
"Volkswagen Polo, ","Volkswagen Polo, ",1.2 TSI Sport BlueMotion,14.299 €,Gasolina,06.2016,84.471 km,110 CV / 81 kW,5,Doble embrague,Rojo
"BMW X2, ","BMW X2, ",sDrive 18i,26.799 €,Gasolina,04.2019,85.244 km,140 CV / 103 kW,5,Cambio tipo automático,Plata
"Peugeot Partner, ","Peugeot Partner, ",1.6 Blue-HDi Outdoor,14.899 €,Diésel,04.2016,85.416 km,100 CV / 73 kW,5,Cambio tipo manual,Gris
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",1.6 VTi Seduction,8.799 €,Gasolina,10.2012,85.679 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Citroen C3 Aircross, ","Citroen C3 Aircross, ",1.6 Blue-HDi Shine,14.399 €,Diésel,10.2017,85.763 km,120 CV / 88 kW,5,Cambio tipo manual,Gris
"Opel Corsa, ","Opel Corsa, ",1.4 Selective,7.799 €,Gasolina,08.2014,85.880 km,100 CV / 74 kW,5,Cambio tipo manual,Negro
"Renault Clio, ","Renault Clio, ",1.5 dCi Energy Technofeel,8.999 €,Diésel,06.2015,86.902 km,90 CV / 66 kW,5,Cambio tipo manual,Gris
"Toyota Auris, ","Toyota Auris, ",1.8 Hybrid Active,14.299 €,Híbrido,09.2017,87.014 km,100 CV / 73 kW,5,Cambio tipo automático,Negro
"Volkswagen T-Roc, ","Volkswagen T-Roc, ",1.0 TSI Advance,19.499 €,Gasolina,05.2019,87.857 km,115 CV / 85 kW,5,Cambio tipo manual,Negro
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",1.6 VTi Business,7.999 €,Gasolina,10.2011,87.942 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Volkswagen T6 Multivan, ","Volkswagen T6 Multivan, ",2.0 TDI Outdoor,35.599 €,Diésel,12.2016,88.461 km,150 CV / 110 kW,4,Cambio tipo manual,Blanco
"Ssangyong Tivoli, ","Ssangyong Tivoli, ",1.6 Turbodiesel Limited 4x2,13.499 €,Diésel,10.2017,88.491 km,115 CV / 85 kW,5,Cambio tipo manual,Negro
"BMW Serie 1, ","BMW Serie 1, ",118d M Sport,18.499 €,Diésel,05.2017,88.532 km,150 CV / 110 kW,3,Cambio tipo manual,Rojo
"Jaguar F-Pace, ","Jaguar F-Pace, ",20d Pure AWD,22.799 €,Diésel,12.2016,88.703 km,180 CV / 132 kW,5,Semi-automático,Gris
"Peugeot 5008, ","Peugeot 5008, ",1.5 Blue-HDi Allure,22.399 €,Diésel,07.2019,89.212 km,130 CV / 96 kW,5,Cambio tipo manual,Blanco
"Peugeot 2008, ","Peugeot 2008, ",1.2 e-VTi Active,10.999 €,Gasolina,12.2014,89.649 km,82 CV / 60 kW,5,Cambio tipo automático,Blanco
"Dacia Dokker, ","Dacia Dokker, ",1.5 Blue dCi SL Nomada,14.999 €,Diésel,02.2019,90.214 km,95 CV / 70 kW,5,Cambio tipo manual,Negro
"Citroen C 3, ","Citroen C 3, ",1.2 VTi Live Edition,8.499 €,Gasolina,01.2016,90.533 km,82 CV / 60 kW,5,Cambio tipo manual,Rojo
"Renault Captur, ","Renault Captur, ",0.9 Energy Zen,11.599 €,Gasolina,01.2016,90.572 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Renault Megane, ","Renault Megane, ",1.2 Limited,9.599 €,Gasolina,12.2014,91.552 km,115 CV / 85 kW,5,Cambio tipo manual,Blanco
"Ford Transit Connect, ","Ford Transit Connect, ",1.5 EcoBlue TDCi Kombi Trend lang,19.499 €,Diésel,12.2018,91.557 km,120 CV / 88 kW,5,Cambio tipo manual,Azul
"Hyundai i10, ","Hyundai i10, ",1.0 Go,8.499 €,Gasolina,09.2016,91.901 km,67 CV / 49 kW,5,Cambio tipo manual,Blanco
"BMW Serie 1, ","BMW Serie 1, ",120d M Sport,18.799 €,Diésel,08.2016,91.938 km,190 CV / 140 kW,5,Cambio tipo manual,Blanco
"Dacia Sandero II, ","Dacia Sandero II, ",1.5 dCi Stepway,9.999 €,Diésel,02.2016,92.018 km,90 CV / 66 kW,5,Cambio tipo manual,Rojo
"Opel Insignia, ","Opel Insignia, ",1.6 CDTI Excellence,14.799 €,Diésel,07.2017,92.588 km,135 CV / 100 kW,5,Cambio tipo manual,Gris
"Mazda 3, ","Mazda 3, ",1.6 CD Diesel Style,7.999 €,Diésel,02.2013,92.657 km,115 CV / 85 kW,5,Cambio tipo manual,Marrón
"Hyundai Kona, ","Hyundai Kona, ",1.0 TGDI Classic 2WD,14.299 €,Gasolina,02.2018,92.737 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Smart ForFour, ","Smart ForFour, ",0.9 Turbo Basis passion,10.699 €,Gasolina,06.2016,92.889 km,90 CV / 66 kW,5,Doble embrague,Blanco
"MINI Clubman, ","MINI Clubman, ",Cooper SD,21.699 €,Diésel,11.2018,93.446 km,190 CV / 140 kW,5,Cambio tipo automático,Gris
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",1.2 e-THP Attraction,12.899 €,Gasolina,01.2016,93.521 km,130 CV / 96 kW,5,Cambio tipo manual,Blanco
"Citroen C 3, ","Citroen C 3, ",1.6 Blue-HDi Shine,11.899 €,Diésel,11.2017,93.536 km,100 CV / 73 kW,5,Cambio tipo manual,Blanco
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 VTi Feel,9.999 €,Gasolina,01.2016,93.718 km,82 CV / 60 kW,5,Cambio tipo manual,Azul
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 e-THP Feel,12.599 €,Gasolina,12.2018,93.868 km,110 CV / 81 kW,5,Cambio tipo manual,Rojo
"Hyundai i20, ","Hyundai i20, ",1.2 Go! Navi,9.499 €,Gasolina,06.2016,94.657 km,85 CV / 62 kW,5,Cambio tipo manual,Blanco
"Ford Tourneo Connect, ","Ford Tourneo Connect, ",1.8 TDCi Trend kurz,8.499 €,Diésel,08.2011,94.725 km,110 CV / 81 kW,4,Cambio tipo manual,Plata
"Volkswagen Scirocco, ","Volkswagen Scirocco, ",1.4 TSI,12.299 €,Gasolina,06.2012,94.836 km,122 CV / 90 kW,3,Cambio tipo manual,Azul
"Renault Clio, ","Renault Clio, ",1.5 dCi Energy Technofeel,8.999 €,Diésel,06.2015,86.902 km,90 CV / 66 kW,5,Cambio tipo manual,Gris
"Toyota Auris, ","Toyota Auris, ",1.8 Hybrid Active,14.299 €,Híbrido,09.2017,87.014 km,100 CV / 73 kW,5,Cambio tipo automático,Negro
"Volkswagen T-Roc, ","Volkswagen T-Roc, ",1.0 TSI Advance,19.499 €,Gasolina,05.2019,87.857 km,115 CV / 85 kW,5,Cambio tipo manual,Negro
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",1.6 VTi Business,7.999 €,Gasolina,10.2011,87.942 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Volkswagen T6 Multivan, ","Volkswagen T6 Multivan, ",2.0 TDI Outdoor,35.599 €,Diésel,12.2016,88.461 km,150 CV / 110 kW,4,Cambio tipo manual,Blanco
"Ssangyong Tivoli, ","Ssangyong Tivoli, ",1.6 Turbodiesel Limited 4x2,13.499 €,Diésel,10.2017,88.491 km,115 CV / 85 kW,5,Cambio tipo manual,Negro
"BMW Serie 1, ","BMW Serie 1, ",118d M Sport,18.499 €,Diésel,05.2017,88.532 km,150 CV / 110 kW,3,Cambio tipo manual,Rojo
"Jaguar F-Pace, ","Jaguar F-Pace, ",20d Pure AWD,22.799 €,Diésel,12.2016,88.703 km,180 CV / 132 kW,5,Semi-automático,Gris
"Peugeot 5008, ","Peugeot 5008, ",1.5 Blue-HDi Allure,22.399 €,Diésel,07.2019,89.212 km,130 CV / 96 kW,5,Cambio tipo manual,Blanco
"Peugeot 2008, ","Peugeot 2008, ",1.2 e-VTi Active,10.999 €,Gasolina,12.2014,89.649 km,82 CV / 60 kW,5,Cambio tipo automático,Blanco
"Dacia Dokker, ","Dacia Dokker, ",1.5 Blue dCi SL Nomada,14.999 €,Diésel,02.2019,90.214 km,95 CV / 70 kW,5,Cambio tipo manual,Negro
"Citroen C 3, ","Citroen C 3, ",1.2 VTi Live Edition,8.499 €,Gasolina,01.2016,90.533 km,82 CV / 60 kW,5,Cambio tipo manual,Rojo
"Renault Captur, ","Renault Captur, ",0.9 Energy Zen,11.599 €,Gasolina,01.2016,90.572 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Renault Megane, ","Renault Megane, ",1.2 Limited,9.599 €,Gasolina,12.2014,91.552 km,115 CV / 85 kW,5,Cambio tipo manual,Blanco
"Ford Transit Connect, ","Ford Transit Connect, ",1.5 EcoBlue TDCi Kombi Trend lang,19.499 €,Diésel,12.2018,91.557 km,120 CV / 88 kW,5,Cambio tipo manual,Azul
"Hyundai i10, ","Hyundai i10, ",1.0 Go,8.499 €,Gasolina,09.2016,91.901 km,67 CV / 49 kW,5,Cambio tipo manual,Blanco
"BMW Serie 1, ","BMW Serie 1, ",120d M Sport,18.799 €,Diésel,08.2016,91.938 km,190 CV / 140 kW,5,Cambio tipo manual,Blanco
"Dacia Sandero II, ","Dacia Sandero II, ",1.5 dCi Stepway,9.999 €,Diésel,02.2016,92.018 km,90 CV / 66 kW,5,Cambio tipo manual,Rojo
"Opel Insignia, ","Opel Insignia, ",1.6 CDTI Excellence,14.799 €,Diésel,07.2017,92.588 km,135 CV / 100 kW,5,Cambio tipo manual,Gris
"Mazda 3, ","Mazda 3, ",1.6 CD Diesel Style,7.999 €,Diésel,02.2013,92.657 km,115 CV / 85 kW,5,Cambio tipo manual,Marrón
"Hyundai Kona, ","Hyundai Kona, ",1.0 TGDI Classic 2WD,14.299 €,Gasolina,02.2018,92.737 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Smart ForFour, ","Smart ForFour, ",0.9 Turbo Basis passion,10.699 €,Gasolina,06.2016,92.889 km,90 CV / 66 kW,5,Doble embrague,Blanco
"MINI Clubman, ","MINI Clubman, ",Cooper SD,21.699 €,Diésel,11.2018,93.446 km,190 CV / 140 kW,5,Cambio tipo automático,Gris
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",1.2 e-THP Attraction,12.899 €,Gasolina,01.2016,93.521 km,130 CV / 96 kW,5,Cambio tipo manual,Blanco
"Citroen C 3, ","Citroen C 3, ",1.6 Blue-HDi Shine,11.899 €,Diésel,11.2017,93.536 km,100 CV / 73 kW,5,Cambio tipo manual,Blanco
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 VTi Feel,9.999 €,Gasolina,01.2016,93.718 km,82 CV / 60 kW,5,Cambio tipo manual,Azul
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 e-THP Feel,12.599 €,Gasolina,12.2018,93.868 km,110 CV / 81 kW,5,Cambio tipo manual,Rojo
"Hyundai i20, ","Hyundai i20, ",1.2 Go! Navi,9.499 €,Gasolina,06.2016,94.657 km,85 CV / 62 kW,5,Cambio tipo manual,Blanco
"Ford Tourneo Connect, ","Ford Tourneo Connect, ",1.8 TDCi Trend kurz,8.499 €,Diésel,08.2011,94.725 km,110 CV / 81 kW,4,Cambio tipo manual,Plata
"Volkswagen Scirocco, ","Volkswagen Scirocco, ",1.4 TSI,12.299 €,Gasolina,06.2012,94.836 km,122 CV / 90 kW,3,Cambio tipo manual,Azul
"Lexus NX-Serie, ","Lexus NX-Serie, ",NX 300h,23.099 €,Híbrido,12.2015,94.900 km,155 CV / 114 kW,5,Cambio tipo automático,Gris
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.2 TSI Edition BlueMotion Tech.,13.299 €,Gasolina,06.2016,95.126 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Honda CR-V, ","Honda CR-V, ",1.6 DTEC Executive 4WD,19.999 €,Diésel,12.2016,96.804 km,160 CV / 118 kW,5,Cambio tipo automático,Rojo
"Ford Ka+, ","Ford Ka+, ",1.2 Ti-VCT Basis,8.399 €,Gasolina,10.2016,96.952 km,70 CV / 51 kW,5,Cambio tipo manual,Blanco
"Kia Sportage, ","Kia Sportage, ",2.0 CRDi GT Line 2WD,19.199 €,Diésel,11.2016,97.631 km,135 CV / 100 kW,5,Cambio tipo manual,Blanco
"Hyundai Elantra, ","Hyundai Elantra, ",1.6 CRDi Klass,11.999 €,Diésel,08.2016,97.678 km,135 CV / 100 kW,4,Cambio tipo manual,Blanco
"Chevrolet Cruze, ","Chevrolet Cruze, ",2.0 Diesel LT,6.999 €,Diésel,07.2011,97.706 km,163 CV / 120 kW,4,Cambio tipo automático,Blanco
"Mercedes-Benz Clase A, ","Mercedes-Benz Clase A, ",A 180 CDI BlueEfficiency Urban,18.499 €,Diésel,07.2016,98.020 km,110 CV / 80 kW,5,Cambio tipo automático,Blanco
"Nissan Juke, ","Nissan Juke, ",1.6 Acenta,9.499 €,Gasolina,11.2012,98.297 km,117 CV / 86 kW,5,Cambio tipo manual,Blanco
"Skoda Fabia, ","Skoda Fabia, ",1.2 Basis,6.599 €,Gasolina,03.2011,98.433 km,60 CV / 44 kW,5,Cambio tipo manual,Azul
"Seat León, ","Seat León, ",1.6 TDI Style Ecomotive,12.199 €,Diésel,10.2015,98.544 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Ford Focus, ","Ford Focus, ",1.6 TDCi Trend,7.799 €,Diésel,06.2011,99.040 km,95 CV / 70 kW,5,Cambio tipo manual,Gris
"Seat Altea, ","Seat Altea, ",1.6 TDI I-Tech Ecomotive,9.699 €,Diésel,03.2014,99.216 km,105 CV / 77 kW,5,Cambio tipo manual,Blanco
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",1.6 VTi Business,7.899 €,Gasolina,12.2012,99.774 km,120 CV / 88 kW,5,Cambio tipo manual,Plata
"Mazda CX 5, ","Mazda CX 5, ",2.0 Black Tech Ed.,17.999 €,Gasolina,01.2017,100.319 km,165 CV / 121 kW,5,Cambio tipo manual,Negro
"Peugeot 2008, ","Peugeot 2008, ",1.2 e-THP Allure,12.999 €,Gasolina,01.2018,100.536 km,110 CV / 81 kW,5,Cambio tipo automático,Rojo
"Audi A7, ","Audi A7, ",3.0 V6 TDI quattro,23.999 €,Diésel,02.2014,101.809 km,245 CV / 180 kW,5,Doble embrague,Negro
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.6 Blue-HDi Feel,10.999 €,Diésel,07.2016,101.811 km,100 CV / 73 kW,5,Cambio tipo manual,Amarillo
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.0 TSI Ready2Go,13.899 €,Gasolina,10.2017,102.009 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Peugeot 208, ","Peugeot 208, ",1.4 HDi Style,7.999 €,Diésel,11.2014,102.167 km,68 CV / 50 kW,5,Cambio tipo manual,Azul
"Citroen C3 Aircross, ","Citroen C3 Aircross, ",1.2 e-THP Feel,12.799 €,Gasolina,02.2019,102.352 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"BMW Serie 3, ","BMW Serie 3, ",318d,13.199 €,Diésel,05.2012,102.407 km,143 CV / 105 kW,4,Cambio tipo automático,Blanco
"Volkswagen Polo, ","Volkswagen Polo, ",1.6 TDI Advance,9.099 €,Diésel,07.2013,102.539 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"BMW Serie 1, ","BMW Serie 1, ",116d,12.999 €,Diésel,11.2013,102.539 km,115 CV / 85 kW,3,Cambio tipo manual,Blanco
"Mercedes-Benz Clase A, ","Mercedes-Benz Clase A, ",A 200 CDI Urban,18.799 €,Diésel,12.2019,102.948 km,135 CV / 100 kW,5,Doble embrague,Gris
"Nissan Juke, ","Nissan Juke, ",1.5 Turbodiesel Tekna,11.599 €,Diésel,12.2014,103.595 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Nissan Juke, ","Nissan Juke, ",1.5 Turbodiesel Tekna,11.599 €,Diésel,12.2014,103.595 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Dacia Duster, ","Dacia Duster, ",1.5 dCi Ambiance 4x2,11.399 €,Diésel,02.2017,103.605 km,110 CV / 80 kW,5,Cambio tipo manual,Blanco
"Mercedes-Benz Viano, ","Mercedes-Benz Viano, ",2.2 CDI lang Ambiente,25.999 €,Diésel,10.2013,104.469 km,163 CV / 120 kW,4,Cambio tipo automático,Negro
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.4 TSI Advance,15.199 €,Gasolina,10.2017,104.697 km,125 CV / 92 kW,5,Cambio tipo manual,Blanco
"Renault Scenic, ","Renault Scenic, ",1.5 dCi Dynamique,9.299 €,Diésel,07.2012,105.350 km,110 CV / 81 kW,5,Doble embrague,Blanco
"Ford Focus, ","Ford Focus, ",1.0 EcoBoost Edition,8.199 €,Gasolina,12.2012,106.619 km,125 CV / 92 kW,5,Cambio tipo manual,Negro
"Opel Corsa, ","Opel Corsa, ",1.4 Selective,8.999 €,Gasolina,05.2017,107.332 km,90 CV / 66 kW,5,Cambio tipo manual,Negro
"Citroen Berlingo, ","Citroen Berlingo, ",1.5 Blue-HDi Feel M,19.999 €,Diésel,06.2020,107.844 km,102 CV / 75 kW,5,Cambio tipo manual,Gris
"Mercedes-Benz Clase CLA, ","Mercedes-Benz Clase CLA, ",CLA 200 d Urban,22.499 €,Diésel,02.2018,108.171 km,135 CV / 100 kW,4,Doble embrague,Blanco
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",2.0 Blue-HDi Shine,18.199 €,Diésel,05.2018,108.304 km,150 CV / 110 kW,5,Cambio tipo automático,Gris
"Peugeot Expert, ","Peugeot Expert, ",2.0 Blue-HDi Active L2,27.999 €,Diésel,12.2018,108.673 km,150 CV / 110 kW,4,Cambio tipo manual,Gris
"Nissan Qashqai, ","Nissan Qashqai, ",1.6 dCi Visia 4x4,15.999 €,Diésel,02.2017,108.687 km,130 CV / 96 kW,5,Cambio tipo manual,Blanco
"Nissan Pulsar, ","Nissan Pulsar, ",1.5 Turbodiesel Acenta,11.099 €,Diésel,03.2017,108.935 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Citroen C4, ","Citroen C4, ",1.6 HDi Exclusive,8.599 €,Diésel,09.2011,108.939 km,110 CV / 82 kW,5,Semi-automático,Azul
"Peugeot 508, ","Peugeot 508, ",1.6 Turbo Allure,8.499 €,Gasolina,03.2011,109.111 km,155 CV / 115 kW,4,Cambio tipo manual,Negro
"Seat Altea, ","Seat Altea, ",1.6 TDI Reference Copa Ecomotive,8.999 €,Diésel,09.2013,109.729 km,105 CV / 77 kW,5,Cambio tipo manual,Negro
"Honda Jazz, ","Honda Jazz, ",1.3 Hybrid Elegance,9.599 €,Híbrido,12.2011,109.843 km,88 CV / 65 kW,5,Cambio tipo automático,Azul
"Ford Grand Tourneo Connect, ","Ford Grand Tourneo Connect, ",1.5 TDCi Titanium,17.699 €,Diésel,10.2017,110.633 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Volkswagen Passat, ","Volkswagen Passat, ",1.6 TDI Edition BlueMotion,11.899 €,Diésel,05.2014,111.310 km,105 CV / 77 kW,5,Cambio tipo manual,Blanco
"Citroen C3 Aircross, ","Citroen C3 Aircross, ",1.2 e-THP Feel,12.799 €,Gasolina,02.2019,102.352 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"BMW Serie 3, ","BMW Serie 3, ",318d,13.199 €,Diésel,05.2012,102.407 km,143 CV / 105 kW,4,Cambio tipo automático,Blanco
"Volkswagen Polo, ","Volkswagen Polo, ",1.6 TDI Advance,9.099 €,Diésel,07.2013,102.539 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"BMW Serie 1, ","BMW Serie 1, ",116d,12.999 €,Diésel,11.2013,102.539 km,115 CV / 85 kW,3,Cambio tipo manual,Blanco
"Mercedes-Benz Clase A, ","Mercedes-Benz Clase A, ",A 200 CDI Urban,18.799 €,Diésel,12.2019,102.948 km,135 CV / 100 kW,5,Doble embrague,Gris
"Nissan Juke, ","Nissan Juke, ",1.5 Turbodiesel Tekna,11.599 €,Diésel,12.2014,103.595 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Nissan Juke, ","Nissan Juke, ",1.5 Turbodiesel Tekna,11.599 €,Diésel,12.2014,103.595 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Dacia Duster, ","Dacia Duster, ",1.5 dCi Ambiance 4x2,11.399 €,Diésel,02.2017,103.605 km,110 CV / 80 kW,5,Cambio tipo manual,Blanco
"Mercedes-Benz Viano, ","Mercedes-Benz Viano, ",2.2 CDI lang Ambiente,25.999 €,Diésel,10.2013,104.469 km,163 CV / 120 kW,4,Cambio tipo automático,Negro
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.4 TSI Advance,15.199 €,Gasolina,10.2017,104.697 km,125 CV / 92 kW,5,Cambio tipo manual,Blanco
"Renault Scenic, ","Renault Scenic, ",1.5 dCi Dynamique,9.299 €,Diésel,07.2012,105.350 km,110 CV / 81 kW,5,Doble embrague,Blanco
"Ford Focus, ","Ford Focus, ",1.0 EcoBoost Edition,8.199 €,Gasolina,12.2012,106.619 km,125 CV / 92 kW,5,Cambio tipo manual,Negro
"Opel Corsa, ","Opel Corsa, ",1.4 Selective,8.999 €,Gasolina,05.2017,107.332 km,90 CV / 66 kW,5,Cambio tipo manual,Negro
"Citroen Berlingo, ","Citroen Berlingo, ",1.5 Blue-HDi Feel M,19.999 €,Diésel,06.2020,107.844 km,102 CV / 75 kW,5,Cambio tipo manual,Gris
"Mercedes-Benz Clase CLA, ","Mercedes-Benz Clase CLA, ",CLA 200 d Urban,22.499 €,Diésel,02.2018,108.171 km,135 CV / 100 kW,4,Doble embrague,Blanco
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",2.0 Blue-HDi Shine,18.199 €,Diésel,05.2018,108.304 km,150 CV / 110 kW,5,Cambio tipo automático,Gris
"Peugeot Expert, ","Peugeot Expert, ",2.0 Blue-HDi Active L2,27.999 €,Diésel,12.2018,108.673 km,150 CV / 110 kW,4,Cambio tipo manual,Gris
