Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color
"Citroen Berlingo, ","Citroen Berlingo, ",1.6 Blue-HDi 20 Aniversario Edition,14.699 €,Diésel,03.2017,76.825 km,99 CV / 73 kW,5,Cambio tipo manual,Negro
"Ford Fiesta, ","Ford Fiesta, ",1.25 Trend,7.899 €,Gasolina,02.2013,76.847 km,82 CV / 60 kW,5,Cambio tipo manual,Gris
"Fiat Tipo, ","Fiat Tipo, ",1.3 M-Jet Easy,10.199 €,Diésel,05.2017,76.969 km,95 CV / 70 kW,4,Cambio tipo manual,Negro
"Kia cee'd, ","Kia cee'd, ",1.4 CRDi Drive,9.699 €,Diésel,07.2013,76.991 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Toyota AYGO, ","Toyota AYGO, ",1.0 X-Wave,,Gasolina,07.2019,76.991 km,72 CV / 53 kW,5,Cambio tipo manual,Blanco
"Opel Corsa, ","Opel Corsa, ",1.4 Business,8.699 €,Gasolina,06.2017,77.167 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Toyota Auris, ","Toyota Auris, ",1.2 Turbo Active,13.399 €,Gasolina,12.2016,77.489 km,115 CV / 85 kW,5,Cambio tipo manual,Blanco
"Peugeot 3008, ","Peugeot 3008, ",1.5 Blue-HDi Allure,21.699 €,Diésel,12.2018,77.926 km,130 CV / 96 kW,5,Cambio tipo automático,Azul
"Peugeot 2008, ","Peugeot 2008, ",1.6 Blue-HDi Allure,13.499 €,Diésel,04.2017,78.018 km,100 CV / 73 kW,5,Cambio tipo manual,Gris
"Peugeot 207, ","Peugeot 207, ",+ 1.4 HDI,,Diésel,03.2014,78.030 km,68 CV / 50 kW,5,Cambio tipo manual,Gris
"Nissan X-Trail, ","Nissan X-Trail, ",1.6 dCi N-Connecta,,Diésel,01.2018,78.105 km,130 CV / 96 kW,5,Cambio tipo automático,Marrón
"Mitsubishi ASX, ","Mitsubishi ASX, ",1.6 MPI Motion,14.099 €,Gasolina,02.2016,78.149 km,117 CV / 86 kW,5,Cambio tipo manual,Gris
"Seat Ibiza, ","Seat Ibiza, ",1.2 TSI Reference,8.299 €,Gasolina,04.2014,78.282 km,85 CV / 63 kW,5,Cambio tipo manual,Azul
"Mitsubishi ASX, ","Mitsubishi ASX, ",1.6 Motion 2WD,14.899 €,Gasolina,02.2018,78.302 km,117 CV / 86 kW,5,Cambio tipo manual,Rojo
"Subaru XV, ","Subaru XV, ",2.0 Sport Plus,20.599 €,Gasolina,01.2018,78.396 km,155 CV / 115 kW,5,Cambio tipo automático,Gris
"Citroen Spacetourer, ","Citroen Spacetourer, ",2.0 Blue-HDi Business XL,26.999 €,Diésel,06.2018,78.416 km,115 CV / 85 kW,4,Cambio tipo manual,Gris
"Seat Ibiza, ","Seat Ibiza, ",1.0 Full Connect,9.999 €,Gasolina,08.2017,78.479 km,75 CV / 55 kW,5,Cambio tipo manual,Gris
"Opel Astra K, ","Opel Astra K, ",1.6 CDTI Dynamic ,13.599 €,Diésel,09.2017,78.883 km,135 CV / 100 kW,5,Cambio tipo manual,Azul
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Allure,9.699 €,Gasolina,06.2016,79.014 km,82 CV / 60 kW,5,Cambio tipo manual,Azul
"Renault Clio, ","Renault Clio, ",0.9 Energy Limited,10.899 €,Gasolina,06.2018,79.018 km,90 CV / 66 kW,5,Cambio tipo manual,Gris
"Jeep Renegade, ","Jeep Renegade, ",1.0 TGDi Longitude 4x2,15.999 €,Gasolina,03.2019,79.075 km,120 CV / 88 kW,5,Cambio tipo manual,Negro
"Skoda Fabia, ","Skoda Fabia, ",1.0 TSI Like,11.099 €,Gasolina,02.2018,79.225 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Jeep Renegade, ","Jeep Renegade, ",1.4 M-Air Limited 4x2,17.899 €,Gasolina,10.2016,79.567 km,140 CV / 103 kW,5,Cambio tipo manual,Negro
"Citroen C4 Picasso, ","Citroen C4 Picasso, ",1.2 PureTech Feel,12.599 €,Gasolina,12.2016,79.735 km,130 CV / 96 kW,5,Cambio tipo manual,Gris
"Seat Ibiza, ","Seat Ibiza, ",1.2 TSI Style I-Tech 30 Aniversario,9.399 €,Gasolina,07.2014,79.766 km,85 CV / 63 kW,5,Cambio tipo manual,Rojo
"Renault Captur, ","Renault Captur, ",1.2 TCe Zen Energy,13.299 €,Gasolina,06.2015,79.782 km,120 CV / 88 kW,5,Cambio tipo automático,Azul
"Renault Megane, ","Renault Megane, ",1.6 dCi Energy GT-Line,16.299 €,Diésel,04.2017,79.993 km,130 CV / 96 kW,5,Cambio tipo manual,Azul
"Citroen DS3, ","Citroen DS3, ",1.2 PureTech Dark Side,,Gasolina,09.2017,80.011 km,110 CV / 81 kW,3,Cambio tipo manual,Gris
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.6 TDI Business BlueMotion Tech,14.299 €,Diésel,02.2017,80.238 km,110 CV / 81 kW,5,Cambio tipo manual,Plata
"Kia Sportage, ","Kia Sportage, ",1.6 Emotion 2WD,15.799 €,Gasolina,07.2017,80.264 km,132 CV / 97 kW,5,Cambio tipo manual,Negro
"Kia Rio, ","Kia Rio, ",1.2 Drive,8.499 €,Gasolina,07.2014,80.317 km,85 CV / 63 kW,5,Cambio tipo manual,Marrón
"Renault Scenic, ","Renault Scenic, ",1.5 dCi Energy Limited,,Diésel,10.2014,80.404 km,110 CV / 81 kW,5,Cambio tipo manual,Beige
"Fiat 500, ","Fiat 500, ",1.2 Lounge,7.799 €,Gasolina,05.2014,80.424 km,70 CV / 51 kW,3,Cambio tipo manual,Blanco
"Peugeot 5008, ","Peugeot 5008, ",1.2 PureTech Active,19.999 €,Gasolina,01.2018,80.604 km,130 CV / 96 kW,5,Cambio tipo automático,Blanco
"Peugeot 3008, ","Peugeot 3008, ",1.5 BlueHDi Allure,18.499 €,Diésel,06.2019,80.656 km,130 CV / 96 kW,5,Cambio tipo manual,Gris
"Fiat Doblò, ","Fiat Doblò, ",1.3 M-Jet Panorama Active N1,9.999 €,Diésel,10.2015,80.658 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Nissan Qashqai, ","Nissan Qashqai, ",1.5 dCi N-Connecta,,Diésel,05.2019,80.740 km,116 CV / 85 kW,5,Cambio tipo automático,Gris
"Nissan Micra, ","Nissan Micra, ",1.0 Visia,10.699 €,Gasolina,06.2019,80.907 km,71 CV / 52 kW,5,Cambio tipo manual,Blanco
"Toyota AYGO, ","Toyota AYGO, ",1.0 City,7.499 €,Gasolina,07.2013,81.097 km,68 CV / 50 kW,5,Cambio tipo automático,Rojo
"Hyundai IONIQ, ","Hyundai IONIQ, ",1.6 Hybrid Tecno,16.799 €,Híbrido,06.2017,81.370 km,105 CV / 77 kW,5,Cambio tipo automático,Azul
"Citroen Berlingo, ","Citroen Berlingo, ",1.6 Blue-HDi 20 Aniversario Edition,14.899 €,Diésel,06.2017,81.508 km,99 CV / 73 kW,5,Cambio tipo manual,Blanco
"Toyota Auris, ","Toyota Auris, ",1.8 Hybrid Feel!,15.799 €,Híbrido,01.2019,81.540 km,100 CV / 73 kW,5,Cambio tipo automático,Gris
"Mercedes-Benz Clase C, ","Mercedes-Benz Clase C, ",C 220 d Avantgarde,24.299 €,Diésel,03.2017,81.748 km,170 CV / 125 kW,4,Cambio tipo automático,Blanco
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Allure,9.699 €,Gasolina,06.2016,79.014 km,82 CV / 60 kW,5,Cambio tipo manual,Azul
"Renault Clio, ","Renault Clio, ",0.9 Energy Limited,10.899 €,Gasolina,06.2018,79.018 km,90 CV / 66 kW,5,Cambio tipo manual,Gris
"Jeep Renegade, ","Jeep Renegade, ",1.0 TGDi Longitude 4x2,15.999 €,Gasolina,03.2019,79.075 km,120 CV / 88 kW,5,Cambio tipo manual,Negro
"Skoda Fabia, ","Skoda Fabia, ",1.0 TSI Like,11.099 €,Gasolina,02.2018,79.225 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Jeep Renegade, ","Jeep Renegade, ",1.4 M-Air Limited 4x2,17.899 €,Gasolina,10.2016,79.567 km,140 CV / 103 kW,5,Cambio tipo manual,Negro
"Citroen C4 Picasso, ","Citroen C4 Picasso, ",1.2 PureTech Feel,12.599 €,Gasolina,12.2016,79.735 km,130 CV / 96 kW,5,Cambio tipo manual,Gris
"Seat Ibiza, ","Seat Ibiza, ",1.2 TSI Style I-Tech 30 Aniversario,9.399 €,Gasolina,07.2014,79.766 km,85 CV / 63 kW,5,Cambio tipo manual,Rojo
"Renault Captur, ","Renault Captur, ",1.2 TCe Zen Energy,13.299 €,Gasolina,06.2015,79.782 km,120 CV / 88 kW,5,Cambio tipo automático,Azul
"Renault Megane, ","Renault Megane, ",1.6 dCi Energy GT-Line,16.299 €,Diésel,04.2017,79.993 km,130 CV / 96 kW,5,Cambio tipo manual,Azul
"Citroen DS3, ","Citroen DS3, ",1.2 PureTech Dark Side,,Gasolina,09.2017,80.011 km,110 CV / 81 kW,3,Cambio tipo manual,Gris
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.6 TDI Business BlueMotion Tech,14.299 €,Diésel,02.2017,80.238 km,110 CV / 81 kW,5,Cambio tipo manual,Plata
"Kia Sportage, ","Kia Sportage, ",1.6 Emotion 2WD,15.799 €,Gasolina,07.2017,80.264 km,132 CV / 97 kW,5,Cambio tipo manual,Negro
"Kia Rio, ","Kia Rio, ",1.2 Drive,8.499 €,Gasolina,07.2014,80.317 km,85 CV / 63 kW,5,Cambio tipo manual,Marrón
"Renault Scenic, ","Renault Scenic, ",1.5 dCi Energy Limited,,Diésel,10.2014,80.404 km,110 CV / 81 kW,5,Cambio tipo manual,Beige
"Fiat 500, ","Fiat 500, ",1.2 Lounge,7.799 €,Gasolina,05.2014,80.424 km,70 CV / 51 kW,3,Cambio tipo manual,Blanco
"Peugeot 5008, ","Peugeot 5008, ",1.2 PureTech Active,19.999 €,Gasolina,01.2018,80.604 km,130 CV / 96 kW,5,Cambio tipo automático,Blanco
"Peugeot 3008, ","Peugeot 3008, ",1.5 BlueHDi Allure,18.499 €,Diésel,06.2019,80.656 km,130 CV / 96 kW,5,Cambio tipo manual,Gris
"Fiat Doblò, ","Fiat Doblò, ",1.3 M-Jet Panorama Active N1,9.999 €,Diésel,10.2015,80.658 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Nissan Qashqai, ","Nissan Qashqai, ",1.5 dCi N-Connecta,,Diésel,05.2019,80.740 km,116 CV / 85 kW,5,Cambio tipo automático,Gris
"Nissan Micra, ","Nissan Micra, ",1.0 Visia,10.699 €,Gasolina,06.2019,80.907 km,71 CV / 52 kW,5,Cambio tipo manual,Blanco
"Toyota AYGO, ","Toyota AYGO, ",1.0 City,7.499 €,Gasolina,07.2013,81.097 km,68 CV / 50 kW,5,Cambio tipo automático,Rojo
"Hyundai IONIQ, ","Hyundai IONIQ, ",1.6 Hybrid Tecno,16.799 €,Híbrido,06.2017,81.370 km,105 CV / 77 kW,5,Cambio tipo automático,Azul
"Citroen Berlingo, ","Citroen Berlingo, ",1.6 Blue-HDi 20 Aniversario Edition,14.899 €,Diésel,06.2017,81.508 km,99 CV / 73 kW,5,Cambio tipo manual,Blanco
"Toyota Auris, ","Toyota Auris, ",1.8 Hybrid Feel!,15.799 €,Híbrido,01.2019,81.540 km,100 CV / 73 kW,5,Cambio tipo automático,Gris
"Mercedes-Benz Clase C, ","Mercedes-Benz Clase C, ",C 220 d Avantgarde,24.299 €,Diésel,03.2017,81.748 km,170 CV / 125 kW,4,Cambio tipo automático,Blanco
